Year,Era,Track Name,Artist Name,Release Date,Genres,Track Duration (seconds),Popularity (Rating),Instrumentalness,Acousticness,Danceability,Valence,Energy
2005,2000s,Beverly Hills,Weezer,2005-05-10,"alternative rock, modern power pop, modern rock, permanent wave, rock",196.093,70,0.0,0.0932,0.693,0.741,0.823
2005,2000s,Summertime,Kenny Chesney,2005-11-07,"contemporary country, country, country road",206.586,68,0.0,0.169,0.48,0.713,0.928
2005,2000s,Remedy,Seether,2005-01-01,"alternative metal, nu metal, post-grunge, south african rock",207.213,70,0.000666,0.000193,0.55,0.391,0.952
2005,2000s,DARE,Gorillaz,2005-05-23,"alternative hip hop, modern rock, rock",244.999,76,0.0869,0.0229,0.76,0.966,0.891
2005,2000s,B.Y.O.B.,System Of A Down,2005-05-17,"alternative metal, nu metal, rap metal, rock",255.466,76,0.0,0.00662,0.538,0.711,0.981
2005,2000s,Touch The Sky,Kanye West,2005-08-30,"chicago rap, hip hop, rap",236.6,73,0.0,0.0114,0.552,0.554,0.846
2005,2000s,Pump It,Black Eyed Peas,2005-01-01,"dance pop, pop, pop rap",213.066,68,0.0,0.0093,0.649,0.744,0.931
2005,2000s,Ella Y Yo - Featuring Don Omar,Aventura,2005-04-26,"bachata, bachata dominicana, latin hip hop, latin pop, tropical, urbano latino",267.786,79,0.0,0.534,0.732,0.717,0.708
2005,2000s,Rockstar - 2020 Remaster,Nickelback,2005,"alternative metal, canadian rock, post-grunge",255.493,72,0.0,0.0477,0.621,0.679,0.913
2005,2000s,Run It! (feat. Juelz Santana),Chris Brown,2005,"r&b, rap",229.866,73,0.0,0.0246,0.846,0.212,0.482
2005,2000s,Just A Lil Bit,50 Cent,2005-03-03,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap",237.706,77,0.00608,0.0322,0.489,0.527,0.692
2005,2000s,You And Me,Lifehouse,2005-03-22,"neo mellow, pop rock, post-grunge",195.493,75,0.0,0.114,0.459,0.354,0.427
2005,2000s,Over My Head (Cable Car),The Fray,2005-09-13,"neo mellow, piano rock, pop, pop rock",236.266,70,0.0,0.022,0.592,0.709,0.729
2005,2000s,Best of You,Foo Fighters,2005-06-14,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock",255.626,75,9.42e-05,0.000769,0.366,0.369,0.94
2005,2000s,Yo (Excuse Me Miss),Chris Brown,2005,"r&b, rap",229.04,72,0.0,0.119,0.536,0.57,0.612
2005,2000s,"Sitting, Waiting, Wishing",Jack Johnson,2005-01-01,neo mellow,183.72,67,2.55e-05,0.22,0.765,0.548,0.535
2005,2000s,Look After You,The Fray,2005-09-13,"neo mellow, piano rock, pop, pop rock",266.773,74,4.47e-06,0.0575,0.447,0.283,0.592
2005,2000s,Un Beso,Aventura,2005-04-26,"bachata, bachata dominicana, latin hip hop, latin pop, tropical, urbano latino",263.346,75,1.81e-05,0.586,0.732,0.715,0.64
2006,2000s,Promiscuous,Nelly Furtado,2006-01-01,"canadian latin, canadian pop, dance pop, pop",242.293,84,6.17e-05,0.0573,0.808,0.868,0.97
2006,2000s,Teenagers,My Chemical Romance,2006-10-23,"emo, modern rock, pop punk, pov: indie, rock",161.92,82,0.0,0.0506,0.463,0.856,0.857
2006,2000s,Animal I Have Become,Three Days Grace,2006-06-25,"alternative metal, canadian metal, canadian rock, nu metal, post-grunge, rock",231.4,77,0.0,0.000684,0.553,0.506,0.853
2006,2000s,Maneater,Nelly Furtado,2006-01-01,"canadian latin, canadian pop, dance pop, pop",258.893,82,0.000386,0.0258,0.796,0.789,0.778
2006,2000s,Smack That,Akon,2006-01-01,dance pop,212.36,84,0.0,0.323,0.939,0.925,0.741
2006,2000s,The Sweet Escape,Gwen Stefani,2006-01-01,"dance pop, pop",246.466,74,0.0,0.191,0.756,0.73,0.769
2006,2000s,SexyBack (feat. Timbaland),Justin Timberlake,2006-09-12,"dance pop, pop",242.733,80,0.0,0.0584,0.967,0.964,0.583
